scheme_code,scheme_name,category,fund_start_date,fund_age_years,return_3m_pct,return_1y_pct,cagr_3y_pct,cagr_5y_pct,sharpe_ratio,fund_house
121280,Bandhan Banking and PSU Fund - Regular Growth,Equity - Banking,04/01/21,4.99,1.25,7.15,7.12,5.66,-0.31,Bandhan MF
121282,Bandhan Banking and PSU Fund - Regular IDCW,Equity - Banking,04/01/21,4.99,1.25,7.15,7.12,3.73,-0.53,Bandhan MF
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,Equity - Banking,04/01/21,4.99,0.13,-0.41,0.04,-0.01,-11.93,Bandhan MF
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,Equity - Banking,04/01/21,4.99,1.25,0.76,1.15,0.69,-2.06,Bandhan MF
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,Equity - Banking,24/08/22,3.35,1.36,7,7.17,,0.61,Canara Robeco MF
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,Equity - Banking,24/08/22,3.35,-1.12,1.72,1.89,,-1.11,Canara Robeco MF
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,Equity - Banking,24/08/22,3.35,1.28,6.7,6.85,,0.32,Canara Robeco MF
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),Equity - Banking,24/08/22,3.35,-1.22,1.49,1.62,,-1.19,Canara Robeco MF
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,Equity - Banking,04/01/21,4.99,1.25,7.1,7.64,5.92,-0.03,DSP MF
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,Equity - Banking,04/01/21,4.99,1.25,-0.71,1.09,-1.1,-1.01,DSP MF
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,Equity - Banking,04/01/21,4.99,-0.03,0.28,0.08,0.05,-7.82,DSP MF
124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,Equity - Banking,04/01/21,4.99,0.01,0.81,0.62,0.41,-3.77,DSP MF
124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,Equity - Banking,04/01/21,4.99,0.2,1.75,0.81,0.44,-1.83,DSP MF
124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,Equity - Banking,04/01/21,4.99,-0.13,0.17,0.07,0.03,-7.4,DSP MF
124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,Equity - Banking,04/01/21,4.99,1.18,6.78,7.36,5.65,-0.2,DSP MF
